TF,target,importance
ODC1,RGS18,34.09399273
KLF4,LGALS1,34.09209495
MEIS1,HIST1H2AC,34.01678891
KLF4,CSF3R,34.01373463
SPIB,BANK1,34.01369768
KLF4,H3F3A,34.0020425
FOS,LGALS1,33.96418237
FOS,PABPC1,33.95943838
FOS,RNF130,33.95798252
FOS,SERPINB1,33.95695253
RUNX2,SCT,33.95124235
CEBPD,S100A8,33.88951624
LMO2,H3F3A,33.88483831
UBB,CUX2,33.86899068
GATA1,TSC22D1,33.86018129
FOS,CYBB,33.85816004
TCF7,RPS15A,33.85377473
HES4,DRAP1,33.78790413
SPI1,C1orf162,33.76355419
MYBL2,UGCG,33.72542331
FOS,FPR1,33.72494488
RPL35,HSPA8,33.72126745
TCF7L2,NAP1L1,33.71788193
TBX21,PTGDR,33.69181863
SPIB,SEL1L3,33.68077244
KLF4,AIF1,33.67997737
CEBPB,AIF1,33.65417381
GATA1,GP1BA,33.60398028
H2AFY,S100A10,33.58967186
TCF7,LDHB,33.54190746
FOS,CD302,33.53428933
KLF4,MNDA,33.51376417
SPI1,S100A6,33.49184121
RPL6,SLC25A6,33.48300279
HSPA5,PDIA6,33.4768319
IRF8,KCNA5,33.42041628
SPIB,P2RX5,33.41433625
P4HB,HSP90B1,33.41432679
RPL35,NPM1,33.40802659
TCF7,PIK3IP1,33.39878155
YBX1,PSME2,33.37872145
FOS,KLF6,33.33502126
SPIB,HVCN1,33.29263726
RPL6,EEF1D,33.29092977
SPIB,TLR10,33.2595679
KLF4,FCN1,33.21643956
RXRA,NEAT1,33.2071196
RPL35,RPL31,33.19379769
MYLK,C2orf88,33.18793167
NFIX,INPP4B,33.15422002
FOSB,JUNB,33.14358166
BCL11A,C12orf75,33.13158921
RPS4X,MZT2B,33.12202907
SPI1,EIF1,33.11045001
SPI1,BRK1,32.99101098
FOS,CFD,32.97094121
KLF4,S100A9,32.96308797
KLF4,FGL2,32.87652485
ODC1,HEMGN,32.85898675
SPI1,ITGB2,32.82554915
HES4,NEURL1,32.80119651
SPI1,CEBPB,32.75643474
CEBPD,TALDO1,32.74823944
SPI1,CAP1,32.74281665
RUNX2,TNFRSF21,32.72366356
KLRG1,CTSW,32.71148622
FOS,METTL9,32.69274837
CEBPD,MEGF9,32.6759585
YBX1,B2M,32.65410014
TCF7,RPS27A,32.59633456
RPL6,TOMM7,32.56387859
XBP1,BIK,32.50685418
FOS,EIF1,32.48913773
RBM3,YBX1,32.46804605
XBP1,ISG20,32.45605097
TCF4,C12orf75,32.43260718
HES4,CDKN1C,32.38675829
FOS,MT-ND2,32.38624348
TCF7,TRAC,32.38377903
KLF4,LYST,32.32824626
HMGA1,CD74,32.28439803
TCF7L2,SIGLEC10,32.27293627
RPS10,RPL27A,32.2699887
RBM3,PFN1,32.25327578
XBP1,PDIA4,32.23327782
FOS,RTN3,32.2193666
TCF7,NOSIP,32.17445222
ZEB2,TYROBP,32.11554194
FOS,NAMPT,32.05750673
EEF1D,RPL13,31.99271143
TCF7,TRABD2A,31.97930962
RPS10,RPLP0,31.97339426
FOS,NEAT1,31.95462172
SPI1,RPS24,31.95371693
ANXA1,S100A9,31.91077592
MYBL2,GZMB,31.90831297
EEF1D,EEF1A1,31.88774602
RPL6,RPS19,31.86887927
CYCS,DERL3,31.86790176
ODC1,ESAM,31.82292805
KLF4,MT-ND2,31.81912965
MYLK,GATA1,31.78219938
TCF7L2,MTSS1,31.75619554
MIEF1,FAM8A1,31.75023677
KLF4,ZEB2,31.74628082
FOS,GLRX,31.74499845
KLF4,CD68,31.69055616
HSPA5,JCHAIN,31.68379355
SPIB,FAM129C,31.65486992
SPIB,FCER2,31.62375573
SPI1,VASP,31.58451566
